"link","dependencies","devDependencies"
"https://github.com/gdi2290/node-everything",22750,0
"https://github.com/vyorkin/starter-kit",49,136
"https://github.com/TeselaGen/openVectorEditor",95,84
"https://github.com/lancetw/react-isomorphic-bundle",106,70
"https://github.com/abrarmusa/bebop",6,159
"https://github.com/N0taN3rd/wail",77,81
"https://github.com/pubpub/pubpub",113,40
"https://github.com/maphubs/maphubs",144,7
"https://github.com/johnloy/wat-namegame",149,0
"https://github.com/GarrettSmith/schizophrenia",148,0
"https://github.com/Poirette/opinonion",102,46
"https://github.com/CaipiLabs/caipi",136,6
"https://github.com/cchamberlain/redux-webpack-boilerplate",79,63
"https://github.com/cheton/cnc",80,62
"https://github.com/leifdalan/vega-june",102,40
"https://github.com/skyuplam/debt_mgmt",139,0
"https://github.com/johnnycx127/react-demo",41,97
"https://github.com/quran/quran.com-frontend",85,49
"https://github.com/obfk/buildmaster",72,60
"https://github.com/ThatCheck/AutoLib",82,49
